Time,Temperature (C),Humidity (%),Pressure (hPa),Gas (Ohm),PM10,PM2.5,PM100
1740785078.8046403,24.3065625,43.77416408174134,1001.1081608357871,143654,6,8,9
1740785079.8180666,24.28546875,43.78983402346701,1001.0733120115449,145273,6,8,8
1740785080.831232,24.2630078125,43.793284606312454,1001.0499921102854,146033,6,8,8
1740785081.8451676,24.2356640625,43.8022058338889,1001.0323914281621,146673,6,8,8
1740785082.85951,24.204609375,43.804669763517715,1001.0207207172816,147447,6,7,8
1740785083.8725522,24.1762890625,43.789355900596654,1001.0049486801731,147188,6,7,8
1740785084.8861337,24.1485546875,43.780142301751624,1000.9935887647689,148493,6,7,8
1740785085.8987796,24.1231640625,43.79531860873128,1000.9895449444313,149287,5,6,7
1740785086.91152,24.099140625,43.8046221538814,1000.98086569976,149287,5,6,7
1740785087.924227,24.0774609375,43.81419501301026,1000.9708884302636,150359,5,6,7
1740785088.936896,24.0567578125,43.81181931025447,1000.964246215071,150494,4,6,7
1740785089.9497166,24.0321484375,43.83914851781321,1000.9597619076557,150629,4,6,7
1740785090.9623854,24.0044140625,43.90834967073994,1000.9552795904968,151996,4,6,7
1740785091.975378,23.979609375,43.98998296196928,1000.9521901733767,151310,5,6,7
1740785092.9881723,23.9606640625,44.096482313270485,1000.9518905559755,152134,5,6,7
1740785094.000224,23.9425,44.19709047024476,1000.9459901989385,151721,5,6,7
1740785095.0126057,23.9258984375,44.27979566903285,1000.9530058806783,152689,4,6,6
1740785096.0256772,23.9091015625,44.36856388324497,1000.9528073467206,153952,4,6,6
1740785097.0387406,23.894453125,44.4334175768104,1000.944101178668,152828,4,6,6
1740785098.051813,23.881171875,44.49239898624941,1000.9479882516196,153952,4,6,6
1740785099.0648918,23.867890625,44.58167702458151,1000.9449849635511,154236,4,6,6
1740785100.0781062,23.8534375,44.65874451699434,1000.9469335356426,153811,4,6,6
1740785101.091108,23.839375,44.71164555152062,1000.9495266922385,154378,4,5,6
1740785102.1058042,23.826484375,44.80107559643238,1000.9523334445398,154520,4,5,6
1740785103.124635,23.814765625,44.87248715585859,1000.953631781747,155669,4,5,6
1740785104.137892,23.803046875,44.925721847686255,1000.9532072795702,155814,4,5,6
1740785105.1511142,23.793671875,45.00352606332372,1000.9480452072961,155814,4,5,6
1740785106.1642027,23.7860546875,45.075496484514076,1000.9406218392988,155236,4,5,6
1740785107.1774328,23.779609375,45.15978471751392,1000.9506343725012,155814,4,5,6
1740785108.1905053,23.7739453125,45.286762725851744,1000.9533273027935,155380,4,5,6
1740785109.2035801,23.7690625,45.38350301114619,1000.9469787954766,155959,4,5,6
1740785110.2166607,23.7637890625,45.461989821765044,1000.9503171027927,156835,4,5,6
1740785111.2298758,23.758515625,45.51615582564088,1000.9570993633488,156982,4,5,6
1740785112.2429554,23.7544140625,45.54002741595125,1000.94859785985,156982,4,5,6
1740785113.2560153,23.7493359375,45.57596738456406,1000.9470924477905,158467,3,5,5
1740785114.2676506,23.74484375,45.57543699121065,1000.9379453033013,158019,3,5,5
1740785115.2804708,23.7411328125,45.58718011292478,1000.9335335507504,157870,3,5,5
1740785116.2937016,23.7383984375,45.61122218319687,1000.9341799606855,159221,3,4,5
1740785117.3067956,23.7344921875,45.62294440997201,1000.9397773373646,158768,3,4,5
1740785118.319853,23.7294140625,45.62843652432358,1000.9434375534432,159524,3,4,5
1740785119.3315265,23.7270703125,45.64034437844952,1000.9481734083778,159676,3,4,4
1740785120.3426435,23.72453125,45.64004431021499,1000.9474204390872,158918,3,4,4
1740785121.354197,23.724140625,45.639998146572474,1000.9467747576512,158918,3,4,4
1740785122.3653722,23.7219921875,45.67630341746915,1000.95011138284,159221,2,3,4
1740785123.375905,23.720625,45.7066135702879,1000.9478514858657,160287,2,3,4
1740785124.3884344,23.719453125,45.70647492548449,1000.9493583546069,161368,2,3,4
1740785125.401628,23.7188671875,45.7064056037147,1000.9449459061295,159981,2,3,4
1740785126.4146025,23.7175,45.706243854556774,1000.9530177478733,160749,2,3,4
1740785127.427348,23.7169140625,45.748843826207846,1000.9589370321271,161368,2,3,4
1740785128.4407253,23.7159375,45.76701824828125,1000.950434988051,161680,2,3,4
1740785129.4541566,23.7157421875,45.785287092363546,1000.9466682406379,161058,2,3,4
1740785130.4673085,23.714375,45.84001255221928,1000.9375205463638,159524,2,3,4
1740785131.4799976,23.7141796875,45.91930205473071,1000.9389196514524,161368,2,3,3
1740785132.4928656,23.7122265625,45.94958460751765,1000.9477448245157,161213,2,3,3
1740785133.506133,23.711640625,45.961722279874294,1000.9553859913539,161680,2,3,3
1740785134.5183587,23.7091015625,45.943110088090464,1000.9529109037419,161992,2,3,3
1740785135.5308313,23.7071484375,45.912365031248264,1000.9462385666899,162779,2,3,3
1740785136.5434191,23.7059765625,45.863416344164875,1000.9494672622939,161992,2,3,3
1740785137.556749,23.706171875,45.85733928405137,1000.9446243330972,162464,2,3,4
1740785138.5700083,23.7065625,45.875686957314244,1000.9418261732171,162621,2,3,4
1740785139.5830717,23.704609375,45.899859954360444,1000.9403196395766,162149,2,3,4
1740785140.5963109,23.704609375,45.91816575701013,1000.9489292470902,163096,2,3,3
1740785141.6095233,23.7034375,45.899720867231444,1000.9487140747932,162938,2,3,3
1740785142.62259,23.7020703125,45.893457129922595,1000.9395664743092,163894,2,3,3
1740785143.6357284,23.7012890625,45.86896072931302,1000.9399970005766,164700,1,2,3
1740785144.6488202,23.7005078125,45.844467859706015,1000.93698370263,164216,1,2,3
1740785145.6619825,23.699921875,45.832199595460764,1000.9325713469318,164216,1,2,3
1740785146.6743414,23.69953125,45.85655170996292,1000.933647563897,164055,2,2,3
1740785147.6876233,23.6989453125,45.89308628320847,1000.9292352158644,163894,3,3,4
1740785148.7011328,23.699921875,45.923711551835865,1000.9377370722941,163894,3,3,4
1740785149.7145245,23.7012890625,45.94218215084755,1000.9417189130265,164700,3,3,4
1740785150.728002,23.7028515625,45.95457436241871,1000.9391359443055,165350,3,3,4
1740785151.7416275,23.7028515625,45.93626474090084,1000.944301694259,164862,3,3,4
1740785152.755128,23.703046875,45.9240825961471,1000.9411807075518,164862,3,3,4
1740785153.7682304,23.7040234375,45.92419854996139,1000.9376291825308,164377,3,3,4
1740785154.7804258,23.7055859375,45.954899205002334,1000.9367680980556,163894,3,3,4
1740785155.7931776,23.7059765625,46.02209793324125,1000.9356918623112,163096,3,4,4
1740785156.8063772,23.7071484375,46.17495369732839,1000.9359069986324,162464,3,4,4
1740785157.81944,23.7096875,46.303643133960506,1000.936660098177,162306,3,4,4
1740785158.8321898,23.713203125,46.44478744831096,1000.9373054422871,161368,3,4,6
1740785159.8461468,23.7165234375,46.59827676573722,1000.9462376626166,161058,3,4,6
1740785160.863942,23.71984375,46.696725612203934,1000.9482820789063,162938,3,4,6
1740785161.8766932,23.7219921875,46.75829369080763,1000.95011138284,163574,2,4,6
1740785162.889388,23.7219921875,46.77055819604067,1000.943223511826,163255,2,4,6
1740785163.902035,23.72296875,46.8074746101796,1000.9413937738093,162938,2,4,6
1740785164.9146578,23.7251171875,46.80159990328319,1000.9328911805646,162938,2,3,6
1740785165.927183,23.7262890625,46.80174115686682,1000.9382721539804,163894,2,3,6
1740785166.9393797,23.72921875,46.76529636158941,1000.9379487561699,163894,2,3,6
1740785167.9519315,23.7333203125,46.7657904729635,1000.9361183326329,163255,2,4,5
1740785168.9645588,23.7368359375,46.827549167180685,1000.9350413222809,162938,2,4,5
1740785169.9772856,23.7399609375,46.88928316681057,1000.9350405987603,163574,2,4,5
1740785170.9899578,23.7415234375,46.90174585705282,1000.9324571926452,164055,2,4,5
1740785172.0026486,23.7426953125,46.88961328585059,1000.9326721500878,164055,2,4,5
1740785173.014188,23.746796875,46.88397171437953,1000.9360075084734,163734,2,4,5
1740785174.025289,23.74875,46.896481304557966,1000.9357917231887,164055,2,4,5
1740785175.0364032,23.751484375,46.87840101070111,1000.9368672294387,164700,2,4,5
