Time,Temperature (C),Humidity (%),Pressure (hPa),Gas (Ohm),PM10,PM2.5,PM100
1740782081.7051244,25.456171875,42.0910952830569,1001.8476018075412,104296,7,9,10
1740782082.7175436,25.4450390625,42.10180515100583,1001.8447599186163,104037,7,9,10
1740782083.730196,25.433515625,42.118452696137645,1001.8464523093057,103973,7,9,10
1740782084.7434072,25.421796875,42.12909782689759,1001.8460950191912,104557,7,9,10
1740782085.75656,25.4098828125,42.145703346755184,1001.8436881289228,105082,7,9,10
1740782086.7696812,25.3981640625,42.156349594649924,1001.8485090930841,106960,7,9,9
1740782087.781712,25.3856640625,42.172891076813244,1001.843407036268,106620,7,9,9
1740782088.7928164,25.3747265625,42.16567800449053,1001.8460637784567,107648,7,9,9
1740782089.803936,25.36359375,42.17040822607317,1001.8432182360256,107717,7,9,9
1740782090.8150272,25.353828125,42.18127503735852,1001.8547143514355,108134,7,9,9
1740782091.8261585,25.341328125,42.1798688845584,1001.85478902802,106552,7,9,9
1740782092.8384979,25.3286328125,42.16049436450207,1001.8579930587513,108134,7,9,9
1740782093.8520377,25.31671875,42.14719191219512,1001.8693914306127,107648,7,9,9
1740782094.86529,25.3048046875,42.16379730102044,1001.866978928361,109049,7,9,9
1740782095.8784816,25.2925,42.1624141135087,1001.8604684013175,109836,7,9,9
1740782096.8916132,25.279609375,42.178910593663446,1001.8598944501582,110488,7,9,9
1740782097.9047005,25.266328125,42.18938181371645,1001.8517701735447,110634,7,9,9
1740782098.9176161,25.2532421875,42.193892856590125,1001.8439680002515,109477,8,10,10
1740782099.931258,25.2419140625,42.198601615917696,1001.8546029296143,110488,8,10,10
1740782100.944493,25.23078125,42.20333240788617,1001.8534772720092,110927,8,10,10
1740782101.9576392,25.21984375,42.24996898335609,1001.8509476688782,110854,7,9,9
1740782102.970218,25.21046875,42.254898238647584,1001.8509981947093,110927,7,9,9
1740782103.9831226,25.200703125,42.295693500497876,1001.85040317678,111370,7,9,9
1740782104.99682,25.188984375,42.31233138298941,1001.8517597223243,114179,7,9,9
1740782106.0110533,25.178046875,42.323071954499895,1001.8544059487674,112719,7,9,9
1740782107.0240731,25.1653515625,42.333614939747925,1001.8575999582723,114491,7,9,9
1740782108.037308,25.153828125,42.338303492186284,1001.8558253994693,113176,7,9,10
1740782109.0506032,25.1426953125,42.34902306097819,1001.8477923224991,115438,7,9,10
1740782110.0637708,25.1321484375,42.353821855977856,1001.8424525340074,116158,7,9,10
1740782111.0768895,25.1216015625,42.358620724882115,1001.8405639049748,114334,7,10,10
1740782112.0900416,25.11203125,42.375504731909466,1001.8506421597231,115757,7,10,10
1740782113.1032445,25.103046875,42.36251746909781,1001.847882025933,116969,7,10,10
1740782114.1169727,25.0940625,42.361505333046566,1001.8433959423082,116481,8,10,10
1740782115.1309385,25.0837109375,42.360339290143,1001.8366513194441,115677,8,10,10
1740782116.1439984,25.0731640625,42.359151371814924,1001.8261325982784,116400,8,10,10
1740782117.1572497,25.0633984375,42.35206498386849,1001.823806529884,116158,8,11,11
1740782118.17068,25.0540234375,42.34502314411849,1001.8169486719214,116319,8,11,11
1740782119.1838915,25.043671875,42.34385783572275,1001.8274583669618,116643,8,11,11
1740782120.197005,25.0344921875,42.372756675537566,1001.824373484517,117875,8,11,12
1740782121.2103221,25.0251171875,42.377687862430946,1001.8226911656473,117626,8,11,12
1740782122.22341,25.0153515625,42.38856239271183,1001.8272650618135,118794,8,11,12
1740782123.2358024,25.0051953125,42.41735737227629,1001.8260168211302,118041,8,11,12
1740782124.2486203,24.9962109375,42.43431055883128,1001.8318802459856,120590,8,11,12
1740782125.2621603,24.985078125,42.43305577982969,1001.8290178583967,119472,8,11,12
1740782126.2759156,24.97453125,42.45582319126199,1001.83229902248,119986,8,11,12
1740782127.2890766,24.9633984375,42.44857893583301,1001.8363369281751,119472,8,11,12
1740782128.302502,24.953046875,42.46538001379963,1001.8313130505865,119472,8,11,12
1740782129.315511,24.9438671875,42.45835574448965,1001.8351259138163,119900,8,11,12
1740782130.3286786,24.9329296875,42.48108115712235,1001.8325837784837,120764,8,11,12
1740782131.3418043,24.9235546875,42.4920042641103,1001.8308973683276,120851,8,11,12
1740782132.3550622,24.9133984375,42.50883045180074,1001.8330954737648,120851,8,11,12
1740782133.3683968,24.903046875,42.525635888735955,1001.834970370222,120939,8,11,12
1740782134.3816397,24.89328125,42.5425087253099,1001.832637387793,121730,8,11,12
1740782135.395529,24.8841015625,42.54746467021225,1001.8329972231166,121907,8,11,12
1740782136.408638,24.8751171875,42.58839894999677,1001.8354044505297,121996,8,11,12
1740782137.4218063,24.8669140625,42.59945950678801,1001.8235764669229,121907,8,11,12
1740782138.4350443,24.85890625,42.65250597271919,1001.831046635852,123616,8,10,11
1740782139.448248,24.8505078125,42.669543734372525,1001.8309708529473,122621,8,10,11
1740782140.4612477,24.8426953125,42.722632652409665,1001.8266878705138,122263,8,10,11
1740782141.4743319,24.833515625,42.75158527479166,1001.83394559548,122981,8,11,11
1740782142.4874167,24.8253125,42.77465313491596,1001.8359164932584,123708,8,11,11
1740782143.4998035,24.8169140625,42.79770155787587,1001.8392892588122,123708,8,11,11
1740782144.512681,24.8096875,42.808883653424544,1001.8480477648038,123343,8,11,12
1740782145.5258582,24.8020703125,42.808020363398526,1001.8544355020094,123891,8,11,12
1740782146.5390909,24.794453125,42.82515966850719,1001.8556482144342,124443,8,11,12
1740782147.5528448,24.7872265625,42.84234469495925,1001.8592309576302,124721,7,10,11
1740782148.5654542,24.7809765625,42.835634502135264,1001.859252558488,124814,7,10,11
1740782149.5759757,24.7753125,42.85299742694387,1001.8636918408552,125000,7,10,11
1740782150.5871155,24.770234375,42.85842362554711,1001.8570254668946,125000,7,10,11
1740782151.5982714,24.765546875,42.875899293936484,1001.8527293553944,125751,7,10,11
1740782152.609512,24.75890625,42.875146008174035,1001.8486553782247,126225,7,10,11
1740782153.6220443,24.751484375,42.87430416072103,1001.8484646000381,126415,7,9,10
1740782154.6355982,24.7440625,42.87946495376723,1001.8465488428731,126511,7,9,10
1740782155.64906,24.7368359375,42.86664053602469,1001.8397814746229,126798,7,9,10
1740782156.6622133,24.7294140625,42.829790441230905,1001.8413147749868,126702,7,9,10
1740782157.6753895,24.723359375,42.823103817206494,1001.8451070563834,127960,7,9,10
1740782158.6883237,24.71671875,42.840353692611295,1001.8496555053653,126702,7,9,10
1740782159.701338,24.709296875,42.82751120276213,1001.8425647517832,127376,7,10,10
1740782160.714291,24.70265625,42.83275947967945,1001.8453880842292,127960,7,10,10
1740782161.7272294,24.69640625,42.84405300841671,1001.8471320769006,128451,7,10,10
1740782162.7402494,24.689375,42.85525859185912,1001.8424110227455,129144,7,9,10
1740782163.7526646,24.6815625,42.8663761898419,1001.8363987936639,128352,7,9,10
1740782164.7654626,24.6753125,42.88367359041669,1001.8312440091063,128058,7,9,10
1740782165.7787588,24.6696484375,42.90704188110617,1001.8339556079153,129045,7,10,10
1740782166.7918413,24.66359375,42.930368765323394,1001.8377459990671,129045,7,10,10
1740782167.804825,24.6579296875,42.95374286769009,1001.8318346526813,129444,7,10,10
1740782168.8178124,24.65265625,42.989175492549435,1001.8334667907965,129644,7,9,10
1740782169.8310828,24.6471875,43.00056637489249,1001.8330515217469,128846,7,9,10
1740782170.8442562,24.6419140625,43.01798674467623,1001.83813230428,130047,7,9,10
1740782171.8573568,24.636640625,43.04141616017108,1001.8397639759252,130553,6,9,9
1740782172.8705735,24.6309765625,43.05879584220685,1001.8390254904895,130148,6,9,9
1740782173.8837192,24.6253125,43.07617707300681,1001.8451845665803,130553,6,9,9
1740782174.8967624,24.620234375,43.08761730536902,1001.8454141314587,129946,6,9,9
1740782175.9096901,24.6157421875,43.09912483674817,1001.8397143643175,131270,6,9,9
1740782176.9223697,24.611640625,43.12870800393522,1001.831211395349,130047,6,9,9
1740782177.935308,24.6079296875,43.16435218936445,1001.835424668267,130859,6,9,10
1740782178.9483855,24.60265625,43.175775342819364,1001.8318823929714,131270,6,9,10
1740782179.9614353,24.5966015625,43.193122683161675,1001.8356706090173,131270,6,9,10
1740782180.9745548,24.5899609375,43.19837870516083,1001.836765865678,132516,6,9,10
1740782181.9876852,24.5833203125,43.19160936817586,1001.8326879711186,131270,6,9,10
1740782183.0007632,24.5770703125,43.196909833427334,1001.8361527433175,131682,6,9,10
1740782184.01316,24.5708203125,43.208223297090356,1001.8309958868095,132098,7,9,10
1740782185.0259712,24.5653515625,43.225639871468694,1001.8357514906447,132098,7,9,10
1740782186.0390866,24.5610546875,43.255220406319026,1001.828649733707,132621,7,9,10
1740782187.0522544,24.5565625,43.2607227453897,1001.8195009453938,132306,7,10,11
1740782188.0653737,24.551875,43.27221796037438,1001.8255474297515,133148,7,10,11
1740782189.0786095,24.5462109375,43.289618009695616,1001.8334280908775,132937,7,10,11
1740782190.091799,24.5419140625,43.295143481399485,1001.831498795443,133360,7,10,10
1740782191.1049552,24.537421875,43.29463086839002,1001.8378675728396,133254,7,10,10
1740782192.1180654,24.53234375,43.31209964823705,1001.8363710039345,133786,7,10,10
1740782193.131261,24.5274609375,43.311542331165555,1001.8369213279387,133573,7,10,10
1740782194.1444001,24.521796875,43.31089587816679,1001.8344560948004,133573,7,10,10
1740782195.157474,24.5161328125,43.31024946255226,1001.8302666299202,133042,7,10,10
1740782196.1703393,24.5122265625,43.33988710447639,1001.8358790087503,134000,8,11,11
1740782197.1834905,24.506953125,43.339284994747935,1001.8392314412064,134322,8,11,11
1740782198.1967025,24.501484375,43.32662687300211,1001.8405367686918,134107,8,11,11
1740782199.2095325,24.496796875,43.33210854564275,1001.8327887931075,134646,8,11,12
1740782200.2226202,24.492109375,43.319540400270924,1001.8336611762861,134863,8,11,12
1740782201.2357514,24.4880078125,43.337122127328215,1001.8303297839103,134430,8,11,12
1740782202.248795,24.48390625,43.33063717339539,1001.8356185933766,134646,8,11,12
1740782203.2619228,24.479609375,43.360232441952796,1001.8371363496968,135299,8,11,12
1740782204.2747169,24.4751171875,43.365737203203736,1001.8348831144988,135628,8,11,12
1740782205.287556,24.471015625,43.371286703100196,1001.8298274790326,135518,8,11,12
1740782206.3006647,24.4676953125,43.38896234327821,1001.8277871995746,136068,8,11,12
1740782207.3137667,24.463203125,43.406505769748705,1001.8272578248168,135848,8,11,12
1740782208.3255973,24.4587109375,43.40599243769914,1001.828452347411,136623,8,11,11
1740782209.3367863,24.453828125,43.39339677353648,1001.8272771035159,136179,8,11,11
1740782210.3479297,24.449921875,43.398969241264716,1001.8259920535987,136290,8,11,11
1740782211.3590946,24.4458203125,43.39248200907025,1001.8312798851757,136290,7,10,10
1740782212.3703427,24.44171875,43.40405091666038,1001.822776098227,137070,7,10,10
1740782213.3829257,24.4383984375,43.397652804102364,1001.8328029952818,136623,7,10,10
1740782214.3960207,24.4333203125,43.39707272849504,1001.826132722117,137183,7,10,10
1740782215.4093585,24.4298046875,43.40268982148071,1001.8323886850475,137860,7,10,10
1740782216.422102,24.425703125,43.39620267157414,1001.8359520542909,137295,7,10,10
1740782217.4349463,24.42140625,43.40173046061081,1001.8340207983892,137860,7,10,10
1740782218.4473915,24.4173046875,43.4072806900091,1001.8427555702834,137974,7,10,10
1740782219.4602118,24.413203125,43.39477503276635,1001.8428708589281,137747,7,10,10
1740782220.473241,24.408515625,43.394239715285,1001.8454651634341,136958,7,10,10
1740782221.4863687,24.4040234375,43.3937267267934,1001.8483822043563,138430,7,10,10
1740782222.499475,24.3989453125,43.40518362661758,1001.8486066715919,137747,7,10,10
1740782223.5124252,24.3942578125,43.39862983472044,1001.8477529611245,138889,7,11,11
1740782224.5246682,24.3883984375,43.409997685370286,1001.8484094974755,138774,7,11,11
1740782225.5374858,24.38390625,43.40346611294191,1001.847878461145,139351,7,11,11
1740782226.5505874,24.3801953125,43.391006051742195,1001.848638863059,138774,7,10,10
1740782227.5636864,24.3762890625,43.378524763852816,1001.8421812647522,139004,7,10,10
1740782228.5767436,24.3716015625,43.396042921504836,1001.8361559108932,139467,7,10,10
1740782229.5899704,24.3675,43.38955678274685,1001.8414416150855,139467,7,10,10
1740782230.602883,24.3637890625,43.39515102160838,1001.8508204089027,139583,7,10,10
